11264996	214859872	1411886011.187
11264996	214859870	1411886046.299
11264996	214859902	1411886120.523
11264987	214714807	1411887189.713
11264987	214714807	1411887221.921
11264987	214677695	1411887276.802
11264987	214714832	1411887380.828
11264987	214697820	1411887417.712
11264872	214857547	1411892293.985
11264872	214857570	1411892377.232
11264872	214857562	1411892475.061
11264872	214857782	1411892524.627
11264872	214857549	1411892557.004
11264872	214857568	1411892633.028
11264872	214849052	1411892685.567
11264872	214849055	1411892739.699
11264872	214645005	1411892824.334
11264842	214857695	1411901997.479
11264842	214861464	1411902238.939
11264809	214819412	1411857948.57
11264809	214858852	1411858009.434
11264809	214819412	1411858035.677
11264793	214858847	1411907417.163
11264793	214858631	1411907470.84
11264793	214859859	1411907560.466
11264793	214859859	1411907609.972
11264793	214859859	1411907637.104
11264789	214857570	1411884147.527
11264789	214857568	1411884233.729
11264789	214855479	1411884333.93
11264738	214712276	1411894947.673
11264738	214712276	1411894950.063
11264738	214855046	1411895584.327
11264738	214855046	1411895587.426
11264704	214854930	1411893748.705
11264704	214854930	1411894680.731
11264711	214697906	1411862452.189
11264711	214848995	1411863171.583
11264711	214848995	1411864130.681
11264729	214857187	1411855464.673
11264729	214861464	1411858280.558
11264729	214856550	1411858617.882
11264729	214857187	1411859098.19
11264681	214857257	1411879794.878
11264681	214857257	1411879822.318
11264681	214858854	1411880037.968
11264681	214858854	1411880058.594
11264681	214690727	1411880105.544
11264681	214858854	1411880119.733
11264681	214857757	1411880130.792
